NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
24,225,194,419,456.863952,0.953552
24,231,196,427,468.260674,0.948315
24,237,187,424,471.445063,0.939663
24,232,191,423,463.990010,0.946721
24,226,189,415,455.442279,0.949909
24,227,191,418,458.620035,0.951503
24,223,189,412,448.340932,0.957423
24,229,193,422,459.336803,0.954235
24,228,180,408,454.575342,0.939663
24,224,193,417,452.436759,0.956284
24,229,191,420,458.751554,0.954690
24,230,190,420,465.700581,0.944217
24,233,192,425,467.585170,0.947177
24,227,183,410,455.417299,0.938525
24,234,182,416,463.136122,0.939435
24,231,184,415,460.272727,0.943534
25,241,202,443,482.094434,0.954098
25,238,192,430,478.533204,0.939016
25,240,188,428,475.036390,0.939454
25,240,187,427,477.517722,0.936393
25,241,194,435,481.171422,0.944044
25,245,187,432,483.937316,0.932678
25,239,187,426,473.046117,0.940109
25,235,195,430,473.124098,0.944699
25,230,191,421,465.910740,0.943169
25,244,191,435,485.989011,0.934863
25,241,189,430,481.696866,0.932896
25,238,191,429,472.705925,0.944918
25,239,188,427,473.926492,0.938798
25,239,192,431,474.452599,0.945137
25,242,184,426,482.891477,0.927650
25,240,192,432,478.663115,0.942732
25,237,197,434,480.065280,0.943607
25,242,183,425,475.862702,0.935301
25,241,190,431,481.167643,0.935738
25,244,185,429,481.756259,0.930929
26,255,185,440,498.101356,0.926860
26,247,200,447,488.813146,0.950609
26,253,198,451,498.688822,0.944935
26,243,195,438,487.714486,0.937579
26,253,195,448,500.137025,0.936948
26,249,186,435,488.259023,0.933796
26,252,188,440,494.220963,0.934426
26,249,186,435,488.951099,0.930853
26,249,203,452,497.597409,0.950609
26,250,199,449,498.912191,0.941362
26,250,186,436,493.573162,0.927491
26,254,186,440,498.219895,0.926650
26,250,187,437,491.431340,0.931484
26,251,190,441,494.293993,0.935687
26,257,192,449,505.164814,0.932745
26,250,191,441,492.900634,0.935477
26,252,192,444,498.949457,0.930643
26,246,194,440,487.545412,0.940521
26,243,197,440,484.947880,0.945355
26,249,190,439,491.936411,0.931694
27,252,195,447,503.333409,0.929569
27,252,197,449,500.340325,0.938474
27,248,196,444,495.886980,0.935641
27,256,197,453,501.629987,0.940295
27,253,198,451,501.663890,0.940700
27,258,191,449,505.816005,0.930783
27,248,198,446,495.099079,0.943938
27,252,198,450,498.196281,0.943736
27,259,206,465,512.963831,0.946974
27,255,194,449,504.550603,0.927545
27,245,199,444,495.103588,0.936652
27,255,198,453,508.698409,0.930783
27,260,196,456,510.327520,0.938069
27,254,185,439,499.677263,0.922688
27,251,198,449,497.535098,0.941105
27,255,191,446,502.780287,0.929771
27,257,193,450,507.289528,0.928557
27,253,202,455,504.636364,0.942117
27,258,195,453,509.161283,0.932807
27,247,189,436,493.873453,0.925926
28,266,238,504,538.244268,0.970141
28,262,242,504,533.132948,0.978923
28,263,232,495,529.184227,0.971897
28,262,223,485,527.182860,0.956479
28,263,237,500,536.319866,0.966823
28,267,236,503,539.876833,0.968189
28,268,234,502,537.003758,0.967018
28,268,242,510,541.379739,0.976776
28,265,231,496,531.473024,0.968774
28,263,239,502,534.993344,0.972678
28,264,232,496,534.153846,0.964676
28,264,236,500,533.083645,0.971507
28,260,242,502,534.104651,0.974239
28,266,234,500,534.752661,0.969945
28,265,236,501,535.263553,0.970336
28,264,240,504,537.348315,0.974629
28,263,234,497,532.990373,0.969945
28,264,234,498,531.172356,0.971507
28,265,236,501,536.269898,0.966823
28,263,226,489,526.836838,0.965066
29,266,238,504,540.021805,0.968909
29,264,232,496,538.076860,0.958357
29,269,233,502,542.589409,0.962125
29,269,236,505,546.165682,0.962125
29,271,239,510,547.888664,0.966836
29,265,235,500,537.689970,0.964764
29,270,235,505,541.421212,0.968344
29,267,235,502,540.388235,0.965517
29,268,236,504,539.803835,0.968344
29,272,240,512,548.040339,0.970040
29,268,239,507,544.445366,0.965706
29,266,238,504,542.651248,0.965517
29,269,235,504,543.422999,0.962502
29,272,235,507,547.659068,0.962502
29,266,242,508,543.649123,0.969851
29,268,236,504,539.803835,0.970793
29,272,237,509,547.701338,0.966459
29,267,240,507,540.833970,0.970040
29,268,237,505,543.507402,0.967967
29,269,234,503,541.574559,0.965140
30,274,239,513,552.446057,0.965574
30,275,242,517,553.065082,0.967395
30,276,235,511,556.404205,0.957377
